번호,공간 이름,전시 시작 ,전시 종료,세부내용,홈페이지,,,,
1,Off Paradise,2021.6.17.,2021.7.27.,그룹전: ,https://offparadise.com/exhibitions/,,,,
2,Trotter & Sholer,2021.6.30.,2021.8.14.,,https://trotterandsholer.com/exhibitions/,,,,
3,Karma,2021.6.24.,2021.8.6.,개인전: Andrew Cranston,https://karmakarma.org/exhibitions/,,,,
4,"Carpenters Workshop Gallery, New York",,,,,,,,
5,"Sundaram Tagore Gallery, New York",,,,http://www.sundaramtagore.com/exhibitions,,,,
6,Leila Heller Gallery,2021.5.30.,2021.9.15.,,http://www.leilahellergallery.com/exhibitions,,,,
7,81 Leonard Gallery,-,,,,,,,
8,"Octavia Art Gallery, New Orleans",2021.5.1.,2021.5.29.,,https://www.octaviaartgallery.com/exhibitions,,,,
9,Marc Straus Gallery,2021.4.15./2021.6.17.,2021.6.30./2021.7.24.,,https://www.marcstraus.com/exhibitions/,,,,
10,Arisohn + Murphy,-,,,,,,,
11,RYAN LEE Gallery,2021.6.4.,2021.8.13.,그룹전: ,https://ryanleegallery.com/exhibitions,,,,
12,Uncommon Beauty,,,,https://www.uncommonbeautygallery.com,,,,
13,ABXY,,,,https://abxy.co/exhibitions,,,,
14,Garth Greenan Gallery,2021.6.10.,2021.7.30.,개인전: Alexis Smith,https://www.garthgreenan.com/exhibitions,,,,
15,Chase Contemporary,2021.7.1.,2021.7.15.,,https://www.chasecontemporary.com/exhibitions,,,,
16,Kasmin Gallery,2021.6.30.,2021.8.13.,2개 전시 / 개인전 / 그룹전,https://www.kasmingallery.com/exhibitions,,,,
